,University,Other,Venture Capital,Healthcare Provider,Biotech / Pharma,HealthTech / Software,Nucleate,Tools & Reagents / CRO-CDMO
Biohack NYC,146,68,5,4,2,1,1,0
It's Darkest Before the Dawn,53,104,12,4,23,10,6,0
Activator Alumni Showcase,149,221,24,8,37,2,25,0
Nucleate x BlueRock: HH Mixer,78,55,2,11,13,2,42,2
Nucleate NY The Forum,179,219,25,15,60,5,80,0
"Made in NYC, Build for the World",96,195,9,1,49,1,13,1
Connect and Collab Fall Mixer with NYAS,52,17,1,3,5,0,57,0
